timestamp,action,price,balance,regime,reason
1779976200.0,SELL,291470.0,48.15875333630785,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1779990300.0,BUY,293877.0,24.284903336307853,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1779996300.0,SELL,292940.0,48.03508583102503,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780005000.0,BUY,294063.0,24.211285831025027,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780010700.0,SELL,293189.0,47.916819345271975,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780012800.0,BUY,293214.0,24.083009345271975,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780020000.0,SELL,292355.0,47.7995153015019,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780029900.0,BUY,291590.0,23.9056453015019,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780041600.0,SELL,292672.0,47.840260889690796,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780044600.0,BUY,292878.0,24.076520889690798,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780051500.0,SELL,292626.0,47.77237479049591,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780069200.0,BUY,293608.0,24.35898479049591,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780082100.0,SELL,292059.0,47.60231858926842,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780085400.0,BUY,293279.0,23.97871858926842,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780095300.0,SELL,292727.0,47.510743871678685,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780105200.0,BUY,292891.0,23.857113871678685,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780112700.0,SELL,292728.0,47.45034643041214,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780122000.0,BUY,292630.0,23.73665643041214,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780126800.0,SELL,292602.0,47.4007019439275,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780134000.0,BUY,292725.0,23.7070319439275,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780155900.0,SELL,294343.0,47.48406400880068,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780167300.0,BUY,294859.0,23.750354008800677,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780173600.0,SELL,294552.0,47.411982421296145,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1780190100.0,BUY,295574.0,23.798392421296146,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1780208100.0,SELL,295002.0,47.31919629044566,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780227900.0,BUY,294513.0,23.715616290445663,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780236900.0,SELL,293051.0,47.15509922471342,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1780245000.0,BUY,292962.0,23.73169922471342,ranging,3 bullish / 0 bearish votes (need 3) in ranging regime
1780245900.0,SELL,292807.0,47.095931159913206,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1780250400.0,BUY,293585.0,23.612471159913206,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780257000.0,SELL,293155.0,47.014684773347135,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780260900.0,BUY,293791.0,23.551244773347133,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780271400.0,SELL,293549.0,46.94851620589613,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780307400.0,BUY,290594.0,23.625216205896127,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780308900.0,SELL,290201.0,46.87043674279641,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780334400.0,BUY,285319.0,23.807396742796406,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780347900.0,SELL,283888.0,46.70891658718111,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1780355400.0,BUY,284394.0,23.956186587181108,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780362000.0,SELL,284275.0,46.653955102867094,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780369500.0,BUY,283114.0,23.87119510286709,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780376100.0,SELL,282266.0,46.54033116056823,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780436100.0,BUY,271812.0,23.54736116056823,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780438500.0,SELL,268889.0,46.24762439276549,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1780446600.0,BUY,268088.0,23.57497439276549,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780451400.0,SELL,267470.0,46.15016352655738,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780465200.0,BUY,268549.0,23.51755352655738,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780477500.0,SELL,268990.0,46.1420355991028,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780482000.0,BUY,269960.0,23.499415599102797,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780490100.0,SELL,269000.0,46.01643745419244,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780516200.0,BUY,262850.0,23.21365745419244,ranging,3 bullish / 1 bearish votes (need 3) in ranging regime
1780516800.0,SELL,262224.0,45.916679167260725,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1780540800.0,BUY,256939.0,24.325109167260724,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1780564800.0,SELL,254889.0,45.70161399630575,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780577100.0,BUY,257381.0,23.579513996305753,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780604100.0,SELL,255806.0,45.52231197828578,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780607400.0,BUY,257270.0,23.200011978285776,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780621800.0,SELL,255297.0,45.30686461131722,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780631700.0,BUY,254206.0,23.084664611317223,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780638900.0,SELL,253002.0,45.157423537542414,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1780651800.0,BUY,255566.0,23.10539353754241,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780655700.0,SELL,254001.0,44.97859415096517,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780660200.0,BUY,252001.0,22.986624150965174,ranging,3 bullish / 1 bearish votes (need 3) in ranging regime
1780684800.0,SELL,245693.0,44.38525881824824,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1780698900.0,BUY,252300.0,22.733628818248242,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780704000.0,SELL,251589.0,44.28110483858118,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780707900.0,BUY,251243.0,22.57942483858118,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780712700.0,SELL,249401.0,44.07895583574329,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780727700.0,BUY,249360.0,22.467365835743287,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780730700.0,SELL,249101.0,44.013373613293815,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780746000.0,BUY,248720.0,22.702083613293816,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780755000.0,SELL,249212.0,44.01286584439707,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780780200.0,BUY,248617.0,22.46133584439707,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780800900.0,SELL,250966.0,44.173023629303174,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780803300.0,BUY,251698.0,22.48135362930317,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780821900.0,SELL,256399.0,44.53401262409058,ranging,1 bullish / 3 bearish votes (need 3) in ranging regime
1780834200.0,BUY,253450.0,22.62212262409058,ranging,3 bullish / 0 bearish votes (need 3) in ranging regime
1780835400.0,SELL,252045.0,44.369006762776706,trending,1 bullish / 3 bearish votes (need 3) in trending regime
1780849800.0,BUY,253950.0,22.53719676277671,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780858500.0,SELL,253000.0,44.2438794562203,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780870200.0,BUY,258000.0,22.862519456220298,trending,3 bullish / 1 bearish votes (need 3) in trending regime
1780882200.0,SELL,256465.0,44.07420281901099,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780886400.0,BUY,257155.0,22.312462819010992,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780892100.0,SELL,257070.0,44.02354406650764,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780899600.0,BUY,257692.0,22.32186406650764,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780921500.0,SELL,258136.0,44.017501073166756,trending,0 bullish / 3 bearish votes (need 3) in trending regime
1780926000.0,BUY,260095.0,22.596101073166757,trending,3 bullish / 0 bearish votes (need 3) in trending regime
1780938000.0,SELL,259830.0,43.95291930496668,trending,1 bullish / 3 bearish votes (need 3) in trending regime
